,%top,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield
40,97.6,0,0,0,0,-0.17,-0.03,-0.27,0,254.1670653,0,0,0,0,0,94.18429025,0,21.5742147,94.18429025,76.07416785,263.7227483,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.46,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,81
41,95.5,0,0,0,0,-0.17,0,-0.27,0,296.2140155,0,0,0,0,0,146.0722459,0,21.5742147,146.0722459,76.07416785,315.610704,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.47,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,87
42,92.5,0,0,0,0,-0.17,0,-0.27,0,308.1387999,0,0,0,0,0,112.3869671,0,21.5742147,112.3869671,76.07416785,281.9254252,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.48,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,91
43,95.5,0,0,0,0,-0.17,-0.08,-0.27,0,270.1619799,0,0,0,0,0,102.9745172,0,21.5742147,102.9745172,76.07416785,272.5129753,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.50,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,93
44,5.5,0,0,0,0,0,0,0,0,248.2140155,168.7323234,168.7323234,168.7323234,0,0,0,0,0,0,32.69197045,277.5925989,0.5,[Rh(C2H4)2Cl]2,22.51198396,21.5742147,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.19,0.25,0.55,MeOH,O=C1C=CCC1,25,1,96
45,94.5,0,0,0,0,-0.17,0,-0.27,0,308.1387999,0,0,0,0,0,112.3869671,0,21.5742147,112.3869671,76.07416785,281.9254252,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.51,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,99
46,97.5,0,0,0,0,-0.17,0,-0.27,0,268.1827154,0,0,0,0,0,111.4802755,0,21.5742147,111.4802755,76.07416785,281.0187336,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.52,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,86
47,7.5,0,0,0,0,0,0,0,0,248.2140155,168.7323234,168.7323234,168.7323234,0,0,0,0,0,0,32.69197045,277.5925989,0.5,[Rh(C2H4)2Cl]2,22.51198396,18.72206172,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.19,0.25,0.55,MeOH/H2O,O=C1C=CCCCC1,50,1,90
48,92.5,-0.09,0,0,-0.09,0,0,0,0,356.250401,146.0722459,292.1444918,292.1444918,0,0,0,146.0722459,0,0,20.25598522,383.2305526,1,[Rh(C2H4)2Cl]2,18.67357617,13.86399135,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.2,2.5,5.5,dioxane/H2O,O=C(N1C)C=CC1=O,50,3,88
49,93.5,-0.09,0,0,-0.09,0,0,0,0,356.250401,146.0722459,292.1444918,292.1444918,0,0,0,146.0722459,0,0,20.25598522,383.2305526,1,[Rh(C2H4)2Cl]2,21.69069928,13.86399135,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.2,2.5,5.5,dioxane/H2O,O=C(N1C2CCCCC2)C=CC1=O,50,3,85
50,96,-0.09,0,0,-0.09,0,0,0,0,356.250401,146.0722459,292.1444918,292.1444918,0,0,0,146.0722459,0,0,20.25598522,383.2305526,1,[Rh(C2H4)2Cl]2,21.69069928,13.86399135,0,0,Lam,151.9199836,CC1=CC=CC=C1B(O)O,3,L3.2,2.5,5.5,dioxane/H2O,O=C(N1C2CCCCC2)C=CC1=O,50,3,95
51,91,-0.09,0,0,-0.09,0,0,0,0,356.250401,146.0722459,292.1444918,292.1444918,0,0,0,146.0722459,0,0,20.25598522,383.2305526,1,[Rh(C2H4)2Cl]2,21.69069928,13.86399135,0,0,Lam,149.8350664,ClC1=CC(B(O)O)=CC=C1,3,L3.2,2.5,5.5,dioxane/H2O,O=C(N1C2CCCCC2)C=CC1=O,50,3,92
52,92,-0.09,0,0,-0.09,0,0,0,0,356.250401,146.0722459,292.1444918,292.1444918,0,0,0,146.0722459,0,0,20.25598522,383.2305526,1,[Rh(C2H4)2Cl]2,21.69069928,13.86399135,0,0,Lam,160.7102105,COC(C=C1)=CC=C1B(O)O,3,L3.2,2.5,5.5,dioxane/H2O,O=C(N1C2CCCCC2)C=CC1=O,50,3,77
53,92.5,-0.09,0,0,-0.09,0,0,0,0,356.250401,146.0722459,292.1444918,292.1444918,0,0,0,146.0722459,0,0,20.25598522,383.2305526,1,[Rh(C2H4)2Cl]2,21.69069928,13.86399135,0,0,Lam,140.6915573,FC(C=C1)=CC=C1B(O)O,3,L3.2,2.5,5.5,dioxane/H2O,O=C(N1C2CCCCC2)C=CC1=O,50,3,88
