,%top,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield
110,25.5,0,0,0,0,-0.17,0,0,1,466.2355388,155.1469416,310.2938831,310.2938831,21.5742147,0,0,155.1469416,21.5742147,0,32.69197045,449.4678996,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.29,1.5,3.3,dioxane/H2O,CC(/C=C/CCCCC)=O,25,3,99
111,16.5,-0.01,0,0,-0.01,0,0,0,1,318.1619799,76.88830503,153.7766101,153.7766101,30.36444165,0,0,76.88830503,30.36444165,0,32.69197045,310.5310804,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.30,1.5,3.3,dioxane/H2O,CC(/C=C/CCCCC)=O,25,3,98
112,21.5,-0.01,0,0,-0.01,0,0,0,1,346.1932801,76.88830503,153.7766101,153.7766101,47.66042687,0,0,76.88830503,47.66042687,0,32.69197045,345.1230509,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.31,1.5,3.3,dioxane/H2O,CC(/C=C/CCCCC)=O,25,3,98
113,12.75,-0.01,0.45,0,-0.01,0.45,0,0,1,374.1518092,76.88830503,153.7766101,153.7766101,53.81419488,0,0,76.88830503,53.81419488,0,32.69197045,357.4305869,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.32,0.9,2,MeOH/CH2Cl2,CC(/C=C/CCCCC)=O,30,3,95
114,13.5,-0.01,0.45,0,-0.01,0.45,0,0,1,402.1831093,94.18429025,188.3685805,188.3685805,53.81419488,0,0,94.18429025,53.81419488,0,32.69197045,392.0225573,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.33,0.9,2,MeOH/CH2Cl2,CC(/C=C/CCCCC)=O,30,3,98
115,7.625,0,0.45,0,0,0.45,0,0,1,510.1265784,112.3869671,224.7739342,224.7739342,53.81419488,0,0,112.3869671,53.81419488,0,32.69197045,428.427911,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.34,0.9,2,MeOH/CH2Cl2,CC(/C=C/CCCCC)=O,30,3,93
116,12.5,0,0.45,0,0,0.45,0,0,1,434.1729386,102.9745172,205.9490344,205.9490344,53.81419488,0,0,102.9745172,53.81419488,0,32.69197045,409.6030112,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.36,0.9,2,MeOH/CH2Cl2,CC(/C=C/CCCCC)=O,30,3,99
117,14.75,-0.09,0.45,0,-0.09,0.45,0,0,1,430.2144094,111.4802755,222.9605509,222.9605509,53.81419488,0,0,111.4802755,53.81419488,0,32.69197045,426.6145278,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.37,0.9,2,MeOH/CH2Cl2,CC(/C=C/CCCCC)=O,30,3,96
118,6.25,0,0.45,0,0,0.45,0,0,1,646.1013477,147.8856292,295.7712584,295.7712584,53.81419488,0,0,147.8856292,53.81419488,0,32.69197045,499.4252352,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.38,0.9,2,MeOH/CH2Cl2,CC(/C=C/CCCCC)=O,30,3,43
119,14,0,0.45,0,0,0.45,0,0,1,554.2151973,155.1469416,310.2938831,310.2938831,53.81419488,0,0,155.1469416,53.81419488,0,32.69197045,513.9478599,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.39,1.5,3.3,dioxane/H2O,CC(/C=C/CCCCC)=O,25,3,98
